Sample.id	pH	Fe2+	Fe3+	S	P	Fe	Ca	Zn	Mn	K	Cr	Pb	Cu	Co	As
DX.O.1	3.11	33.1	37.4568	16525	104.935	51907.5	19331	43	358	31449.5	51.5	25	1204	26	25
DX.O.2	3.32	34.14	34.3412	34222.5	141.045	82272	28933	29	178.5	27368.5	46	34.5	426	25	33
DX.O.3	3.24	33.12	38.899	15774.5	117.105	42301	29337.5	94.5	678.5	28294.5	0	23	1473	17	26
DX.O.4	3.03	35.63	35.1201	39324.5	106.615	76107.5	36213.5	44.5	241	25643	25	45	653.5	26.5	49
DX.O.5	3.12	33.375	41.50955	9217.5	119.205	38569	32430	184	497.5	29044.5	0	26.5	1673	17	21.5
DX.O.6	3.11	29.5025	40.314825	46135.5	110.81	66618.5	43286.5	44.5	304.5	25122.5	61.5	22	1118.5	23.5	35.5
DX.W.1	2.44	21.13965	383.7067	8241.87	73.55	384.61	441.44	11.77	208.75	6.35	1.43	11.69	109.54	10.22	21.01
DX.W.2	2.24	29.72095	375.73835	7518.05	76.96	819.86	388.53	11.06	173.32	5.69	1.32	10.56	153.05	8.84	19.34
DX.W.3	2.45	21.13965	394.12685	7088.44	65.11	500.89	431.55	10.3	169.36	6.68	1.21	10.2	153.65	8.67	18.25
DX.W.4	2.4	30.75695	385.54555	7189.53	66.34	502	432.17	10.44	171.61	6.02	1.22	10.29	156.49	8.76	18.02
DX.W.5	2.47	172.5383	202.2735	9657.03	84.12	350.68	458.21	13.61	251.8	7.22	1.49	13.01	197.36	11.95	23.74
DX.W.6	2.58	157.21455	262.95555	9445.84	85.05	348.14	467.75	13.57	246.93	7.22	1.46	12.8	196.82	11.97	23.48
ZJ.O.1	2.34	43.20585	270.31095	14004	3777	16835.5	370.5	71	85	6142	73	278.5	1799.5	9.5	419
ZJ.O.14	2.29	31.5598	285.6347	18902.5	3580	15623	819.5	189.5	57.5	8851.5	0	353	1507	4.5	332.5
ZJ.O.16	2.23	40.1411	329.7671	21815	3245.5	18171.5	504	141	76.5	11215	15	378.5	1540	9.9	314
ZJ.O.20	2.34	32.7857	190.0145	20449	3511	14533	448	176.5	69.5	12506	0	432.5	1693	7.25	293.5
ZJ.O.21	2.33	18.68785	269.08505	17562.5	3610	15030	763	121.5	75.5	9786	0	373	1503.5	6.7	285
ZJ.O.6	2.31	69.5627	248.24475	16034.5	3986	21379	337	93.5	99	6764.5	0	316	4761	8.9	368.5
ZJ.W.1	1.24	22.9512	457.288	10278	212	7375	400	171	39	24	2.99	25	2494	9.08	100
ZJ.W.2	1.24	22.9785	546.7514	10330	205	7383	374	171	39	35	3.02	28	2523	9.32	106
ZJ.W.4	1.24	19.91375	637.468	9727	207	7059	371	171	41	29	3.07	26	2202	8.73	96
ZJ.W.5	1.23	18.0749	620.3054	10395	209	7456	377	172	40	29	2.96	24	2521	9.03	108
ZJ.W.6	1.23	18.68785	451.1312	10182	205	7318	380	171	39	29	3.01	25	2435	9.04	102
ZJ.W.7	1.24	18.68785	528.3629	10791	222	7743	420	179	40	25	3.13	26	2618	9.53	105
MZ.W1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ.W2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ.W3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1W	2.59	1.575 	831.425 	NA	6.744	833.000 	537.4	80.47	88.81	5.775	0.852	0.654	118.1	0.83	10.25
C3W	2.38	4170.000 	980.000 	NA	14.58	5150.000 	523.9	121.4	157.2	19.32	5.67	0	286	0	0
C4W	2.47	710.000 	512.000 	NA	3.976	1222.000 	225	120.14	35.84	2.326	1.208	1.668	158.96	1.442	0
C5W	2.49	333.667 	893.333 	NA	2.421	1227.000 	442.3	38.05	72.15	2.814	0.623	1.335	81.47	0.586	0
C6W	2.38	266.333 	1883.667 	NA	8.466	2150.000 	389.4	198.74	189.04	6.448	1.676	2.438	85.08	1.844	1.954
C9W	2.44	2.820 	409.180 	NA	1.466	412.000 	148	11.63	15.45	2.057	0	0	45.66	0	0
