	Mean.Depth_m	Mean.Temperature	Mean.Oxygen_umol.kg.1	PO4_umol.L.1	NO2NO3_umol.L.1	SI_umol.L.1	AMODIS.PAR8d.Einsteins.m.2.d.1
TARA_100_DCM_0.22_3.0	57.622514	20.649431	216.790338	0.78	5.7	1.9	41.79
TARA_102_DCM_0.22_3.0	45.659026	19.566255	103.916711	1.86	24.4	10.5	44.432
TARA_109_DCM_0.22_3.0	29.806808	26.532035	203.127654	0.5	4.6	3.2	51.684
TARA_110_DCM_0.22_3.0	48.691267	21.814577	144.633667	0.93	10.7	6	46.495
TARA_111_DCM_0.22_3.0	88.989575	19.881449	211.54555	0.44	0.93	0.9	35.531
TARA_112_DCM_0.22_3.0	153.5436	22.261435	207.089325	0.11	0.02	0.7	24.873
TARA_122_DCM_0.22_3.0	113.25225	24.69625	179.916875	0.59	2.8	1.8	39.59
TARA_128_DCM_0.22_3.0	41.657389	26.080233	176.984778	0.55	5.26	2.74	NA
TARA_132_DCM_0.22_3.0	113.793163	15.284298	225.501338	0.13	0.05	4.45	NA
TARA_133_DCM_0.22_3.0	47.21475	13.159842	227.686042	0.46	1.3	2.84	NA
TARA_137_DCM_0.22_3.0	44.174167	18.594842	95.411833	0.88	6.05	4.66	40.569
TARA_138_DCM_0.22_3.0	58.102975	19.048358	77.038525	1.11	12.9	8.07	32.302
TARA_142_DCM_0.22_3.0	123.712288	24.948842	192.971638	0.02	0.06	1.17	NA
TARA_150_DCM_0.22_3.0	39.779235	17.663574	230.132971	0	0.17	0.84	20.466
TARA_151_DCM_0.22_3.0	77.569937	16.751066	228.54515	0.01	0.05	0.63	18.453
TARA_058_DCM_0.22_3.0	67.071075	25.308318	185.01	0	0.06	2.51	29.165
TARA_064_DCM_0.22_3.0	63.6355	22.250309	207.446227	0.08	0.02	1.75	15.401
TARA_065_DCM_0.22_3.0	28.6815	21.81495	206.43725	NA	NA	NA	10.406
TARA_066_DCM_0.22_3.0	28.633	15.01895	240.4135	0.37	3.23	2.47	13.132
TARA_068_DCM_0.22_3.0	40.268917	16.787411	231.683361	0.227	1.08	2.436	34.079
TARA_072_DCM_0.22_3.0	95.403276	24.112672	194.428431	0.143	0.044	1.319	40.356
TARA_076_DCM_0.22_3.0	147.9825	21.643283	203.814833	0.038	0	0.712	NA
TARA_078_DCM_0.22_3.0	118.275667	19.30925	217.140667	0	0.104	0.319	NA
TARA_082_DCM_0.22_3.0	41.766912	6.975635	306.211529	1.416	19.07	3.078	29.526
TARA_085_DCM_0.22_3.0	87.438325	-0.78154	325.402987	2.309	31	81.82	38.313
TARA_093_DCM_0.22_3.0	33.7675	16.40115	237.215	1.07	7.55	0.59	36.415
TARA_098_DCM_0.22_3.0	183.31212	20.171605	210.5781	0.1	0.05	0.35	44.636
TARA_100_MES_0.22_3.0	175.2568	13.014573	0.70843	2.68	23.9	19.6	43.053
TARA_102_MES_0.22_3.0	475.619375	9.195825	4.42525	2.85	39.2	40.6	44.432
TARA_109_MES_0.22_3.0	376.367333	11.3158	2.516667	2.58	35.3	36.3	51.684
TARA_110_MES_0.22_3.0	376.926537	10.2584	1.27395	2.8	38.1	35	46.495
TARA_111_MES_0.22_3.0	347.146525	10.893125	3.171063	2.73	34.61	26	34.445
TARA_112_MES_0.22_3.0	689.263312	5.791448	199.248437	2.15	31.46	20.6	24.494
TARA_122_MES_0.22_3.0	594.575	7.212238	38.115125	2.43	34.63	22.49	40.54
TARA_132_MES_0.22_3.0	545.5185	6.689724	138.735952	1.22	17.49	22.34	NA
TARA_133_MES_0.22_3.0	644.642237	4.936634	8.57745	3.29	44.24	113.32	NA
TARA_137_MES_0.22_3.0	370.969763	8.911481	0.628413	2.95	34.55	46.62	40.519
TARA_138_MES_0.22_3.0	444.883637	8.210557	0.78015	3.16	36.22	52.92	33.697
TARA_142_MES_0.22_3.0	634.7514	9.756257	108.240083	1.22	20.25	8.62	NA
TARA_145_MES_0.22_3.0	585.697288	5.067239	230.24915	1.47	21.5	13.73	NA
TARA_146_MES_0.22_3.0	633.320325	11.012346	138.0832	1.31	20.03	13.24	NA
TARA_148_MES_0.22_3.0	246.368475	18.169021	191.752575	0.18	4.13	1.62	16.098
TARA_149_MES_0.22_3.0	734.339983	10.565417	155.156833	1.36	21.11	11.38	15.197
TARA_152_MES_0.22_3.0	791.769433	10.21177	175.306683	1.12	18.03	10.38	25.09
TARA_056_MES_0.22_3.0	989.64655	6.23622	88.1626	NA	NA	NA	37.61
TARA_064_MES_0.22_3.0	990.7785	7.6502	193.011	1.12	15.24	5.89	14.563
TARA_065_MES_0.22_3.0	842.157	8.4127	197.9725	NA	NA	NA	10.406
TARA_068_MES_0.22_3.0	722.701418	7.026748	195.168847	1.529	22.08	12.08	31.345
TARA_070_MES_0.22_3.0	791.586483	4.216697	161.730633	2.522	36.73	44.86	48.757
TARA_072_MES_0.22_3.0	792.736375	4.673875	143.1955	2.618	36.98	34.44	35.941
TARA_076_MES_0.22_3.0	792.78325	4.749588	192.1655	0.937	12.078	4.386	NA
TARA_078_MES_0.22_3.0	792.738	5.8659	214.842	1.946	28.21	13.93	NA
TARA_085_MES_0.22_3.0	783.816075	0.45883	203.8394	2.614	36.37	83.35	34.159
TARA_098_MES_0.22_3.0	481.0982	8.113126	155.55759	2.02	27.29	12.05	45.002
TARA_100_SRF_0.22_3.0	5.479	25.2512	200.233917	0.68	6.2	1.2	41.79
TARA_102_SRF_0.22_3.0	5.4785	24.943108	205.992583	1	12.6	5	42.123
TARA_109_SRF_0.22_3.0	5.400583	27.617558	198.635833	0.27	0.9	1.7	51.461
TARA_110_SRF_0.22_3.0	5.464917	23.8683	190.816333	0.75	8.2	3.9	47.212
TARA_111_SRF_0.22_3.0	5.8897	22.76873	208.8654	0.5	2.68	1	34.233
TARA_112_SRF_0.22_3.0	5.43925	24.237467	202.174583	0.14	0.03	0.8	27.005
TARA_122_SRF_0.22_3.0	5.8596	26.54413	186.2407	0.57	5.46	2.19	40.236
TARA_123_SRF_0.22_3.0	5.537917	26.576175	189.758333	0.53	4.9	2.22	45.243
TARA_124_SRF_0.22_3.0	9.8985	26.518986	190.724	0.63	6.18	2.52	NA
TARA_125_SRF_0.22_3.0	5.456417	26.780158	187.302833	0.56	3.73	1.8	NA
