	Mean.Depth_m	Mean.Temperature	Mean.Oxygen_umol.kg.1	PO4_umol.L.1	NO2NO3_umol.L.1	SI_umol.L.1	AMODIS.PAR8d.Einsteins.m.2.d.1
TARA_112_DCM_0.8_5.0	153.5436	22.261435	207.089325	0.11	0.02	0.7	24.873
TARA_097_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_096_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_151_DCM_0.8_5.0	77.569937	16.751066	228.54515	0.01	0.05	0.63	18.453
TARA_142_DCM_0.8_5.0	123.712288	24.948842	192.971638	0.02	0.06	1.17	NA
TARA_006_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_066_DCM_0.8_5.0	28.633	15.01895	240.4135	0.37	3.23	2.47	13.132
TARA_051_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_132_DCM_0.8_5.0	113.793163	15.284298	225.501338	0.13	0.05	4.45	NA
TARA_086_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_034_DCM_0.8_5.0	60.130917	27.589917	175.384083	0.09	0.64	1.35	35.386
TARA_058_DCM_0.8_5.0	67.071075	25.308318	185.01	0	0.06	2.51	29.165
TARA_080_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_102_DCM_0.8_5.0	45.659026	19.566255	103.916711	1.86	24.4	10.5	44.432
TARA_128_DCM_0.8_5.0	41.657389	26.080233	176.984778	0.55	5.26	2.74	NA
TARA_032_DCM_0.8_5.0	85.473667	26.050367	179.968	0.025	0.01	0.85	23.424
TARA_106_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_025_DCM_0.8_5.0	51.695136	15.161277	229.547682	0.07	0.15	1.82	13.616
TARA_122_DCM_0.8_5.0	113.25225	24.69625	179.916875	0.59	2.8	1.8	39.59
TARA_111_DCM_0.8_5.0	88.989575	19.881449	211.54555	0.44	0.93	0.9	35.531
TARA_110_DCM_0.8_5.0	48.691267	21.814577	144.633667	0.93	10.7	6	46.495
TARA_109_DCM_0.8_5.0	29.806808	26.532035	203.127654	0.5	4.6	3.2	51.684
TARA_138_DCM_0.8_5.0	58.102975	19.048358	77.038525	1.11	12.9	8.07	32.302
TARA_004_DCM_0.8_5.0	38.689029	16.246331	NA	NA	NA	NA	37.643
TARA_135_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_009_DCM_0.8_5.0	55	16.151933	NA	0.02	0.08	0.6	26.661
TARA_016_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_042_DCM_0.8_5.0	79.02115	27.723425	132.77885	0.34	1.39	3.2	41.596
TARA_072_DCM_0.8_5.0	95.403276	24.112672	194.428431	0.143	0.044	1.319	40.356
TARA_093_DCM_0.8_5.0	33.7675	16.40115	237.215	1.07	7.55	0.59	36.415
TARA_081_DCM_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_137_DCM_0.8_5.0	44.174167	18.594842	95.411833	0.88	6.05	4.66	40.569
