Run	Moisture	SoilC	N	C	pH
ERR1873185	123.8218002	5.59600019	1.584105379	29.21257864	2.43
ERR1873186	123.8218002	5.59600019	0.706136005	16.18649227	2.51
ERR1873187	142.2667999	6.89400005	1.761327676	33.67011116	2.65
ERR1873188	123.8218002	5.59600019	0.677591609	11.43821617	2.89
ERR1873189	123.8218002	5.59600019	1.992858746	39.18635393	2.51
ERR1873190	148.1273041	6.21299982	1.235604238	21.21538458	2.69
ERR1873191	139.1215057	7.46099997	0.647193863	15.49060917	2.64
ERR1873192	142.2667999	6.89400005	0.925123674	17.20702323	2.74
ERR1877973	149.3318024	9.25199986	1.114317346	18.71201719	3.51
ERR1873193	149.3318024	9.25199986	1.264931071	25.39019061	3.56
ERR1873194	142.4752045	9.02900028	1.719807861	37.48061948	2.8
ERR2602433	88.99269867	7.6869998	0.427795699	6.2464216	4.06
ERR1873195	89.93299866	9.24300003	0.918012666	28.26973109	2.97
ERR1873196	93.48269653	9.63599968	0.357490361	6.438094168	5.94
ERR1873197	86.71520233	7.11199999	1.419877174	27.46645964	3.94
ERR1873198	84.50080109	4.16099977	0.482729855	13.15598591	4.89
ERR1873199	82.98670197	6.23600006	0.908228478	23.0585387	4.88
ERR2602434	82.98670197	6.23600006	0.329071517	7.133560584	4.73
ERR1873201	79.47280121	8.6590004	0.563513874	12.39125412	4.49
ERR1873202	53.17499924	5.74800014	0.377905844	12.81446861	5.56
ERR1873203	51.1629982	5.45800018	0.36263436	8.489748375	6.1
ERR1873204	98.15329742	7.49800014	1.335814754	26.66969936	4.06
ERR1873205	98.15329742	7.49800014	0.700323055	13.91150799	4.51
ERR1873206	98.15329742	7.49800014	0.596764935	11.48324963	4.46
ERR1873207	98.15329742	7.49800014	0.350792997	6.063246302	5.32
ERR1873208	98.15329742	7.49800014	0.923522218	11.84667083	6.11
ERR1873209	98.15329742	7.49800014	0.403368126	6.652753952	6.67
ERR1873210	139.925705	7.45800018	0.699885632	8.851476906	6.18
ERR1873211	143.834198	8.66399956	1.022767053	23.20967516	4.57
ERR1873212	143.834198	8.66399956	0.572786934	13.56173744	4.8
ERR1873213	145.5254974	8.00399971	1.733205768	35.0518683	4.73
ERR1873214	145.5254974	8.00399971	1.545278502	27.43137792	3.95
ERR1873215	146.2375031	8.75800037	1.246809979	20.39213281	4.46
ERR1873216	146.2375031	8.75800037	0.09674913	2.716587562	2.9
ERR1873217	146.2375031	8.75800037	0.894378077	21.45915721	4.08
ERR1873218	145.5254974	8.00399971	0.654418956	11.91740276	3.75
ERR1873219	145.5254974	8.00399971	1.0609428	23.0277765	3.73
ERR2602435	47.87879944	5.51800013	0.101074537	2.73412349	4.78
ERR1873220	83.28949738	9.25800037	0.516065915	8.330678294	6.38
ERR1873221	47.71829987	5.54899979	0.136705944	2.26725368	4.12
ERR1873222	45.0265007	2.60500002	0.086866624	1.464134098	4.57
ERR1873223	50.62480164	6.125	0.136372533	3.832511049	4.18
ERR1873224	53.53720093	4.61999989	0.46461819	6.761304772	5.89
ERR1873225	83.28949738	11.50300026	1.192258503	37.74096578	3.15
ERR1873226	83.28949738	9.25800037	1.789123418	40.15601322	5.05
ERR1873227	147.438797	5.19899988	1.525460111	30.78797493	2.6
ERR1873228	135.2322998	5.02199984	0.248480271	4.151986412	3.44
ERR1873229	135.2322998	5.02199984	0.188504771	2.494786645	3.69
ERR2603003	135.2322998	5.02199984	0.188504771	2.494786645	3.69
ERR1873344	83.28949738	9.25800037	0.412416891	7.256006836	4.98
ERR1873345	83.28949738	9.25800037	0.524993007	8.448196732	6.87
ERR1873346	83.28949738	10.13199997	1.610500321	24.04738575	6.86
ERR1873347	83.28949738	10.13199997	0.788109282	12.61763118	6.8
ERR1873348	146.1640015	11.92599964	0.5304242	7.558033347	6.37
ERR1873230	71.16369629	11.84799957	0.74219913	30.86678522	2.86
ERR1873231	61.44179916	6.19500017	1.474091052	40.29213753	2.89
ERR1873232	93.8635025	5.171	0.67444609	13.52686693	3.57
ERR1873233	84.50779724	9.88099957	0.948623454	35.57764948	2.91
ERR1873234	73.18379974	18.67900085	1.053423746	23.57910396	3.16
ERR2602436	93.48269653	9.63599968	0.441758796	7.850792277	5.67
ERR2602437	104.7095032	10.13199997	0.428027033	5.624944869	6.73
ERR1873349	104.7095032	10.13199997	0.76537822	13.43381029	6.23
ERR1873235	99.97270203	4.78599977	0.462254684	5.042694709	5.8
ERR1873236	149.5827942	4.33900023	1.495815064	24.90792361	3.17
ERR1873237	104.7095032	11.92599964	0.405483286	6.396395089	4.76
ERR2602438	57.59120178	6.02099991	0.2684078	3.44573349	4.74
ERR1873239	57.59120178	6.02099991	0.257292243	3.541219839	5
ERR1873240	71.72650146	4.40600014	0.422042017	6.180033763	5.15
ERR1873241	85.33899689	5.26599979	0.443515262	6.047392451	5.25
ERR1873242	78.56529999	4.28100014	0.446384962	6.26341699	4.79
ERR1873243	85.33899689	5.26599979	0.244491271	3.560609214	4.91
ERR2602439	105.687	10.801	1.62508541	30.89482017	4.2
ERR1873244	NA	NA	1.490926138	15.48372558	6.89
ERR1873245	83.2895	9.258	0.930516874	13.51391499	6.64
ERR2602440	85.0773	6.802	0.449460892	6.113025898	4.81
ERR1873246	83.2895	11.503	0.373921924	5.317544032	5.63
ERR2602444	33.42250061	3.91700006	0.138094166	2.486509997	4.55
ERR2602445	33.42250061	6.95300007	0.901614812	20.65152298	3.68
ERR1873247	33.42250061	6.95300007	0.143277935	3.266554632	3.72
ERR1873248	95.751297	6.48000002	1.82028742	39.20734792	2.58
ERR1873249	33.42250061	3.91700006	0.427585738	7.53400504	3.47
ERR1873335	139.5596924	6.67000008	0.78883266	15.79141965	3.55
ERR1873250	33.42250061	3.91700006	0.378631578	9.404835802	3.63
ERR1873251	45.91970062	3.10800004	0.129151265	1.996881353	4.293333333
ERR1873252	127.228302	4.24800014	1.252090352	26.56277252	4.35
ERR2602446	113.3223038	5.50600004	0.794467617	12.08297891	4.76
ERR1873253	108.9154968	3.99699998	0.536869142	7.563135098	5.64
ERR1873254	93.10369873	5.34200001	0.450220071	5.503133066	5.67
ERR1873255	124.2505035	4.09700012	0.837597115	11.29228346	5.95
ERR2602447	127.228302	4.24800014	1.579896349	26.05271528	4.87
ERR1873256	117.2061997	5.42700005	0.908564576	14.06720769	3.65
ERR2602448	56.31570053	6.30499983	1.633356629	17.06953981	6.75
ERR1873257	138.5316925	8.90699959	0.749986762	13.12765997	5.18
ERR1877971	144.7297058	4.34899998	0.990766587	17.39440697	4.13
ERR2602449	62.42679977	2.77099991	0.607857838	8.639175359	6.49
ERR1873258	96.34529877	5.86800003	0.577737611	7.600722073	6.76
ERR2602450	31.48870087	5.49700022	1.611339686	28.92965199	4.27
ERR1873259	31.48870087	5.49700022	0.764384581	13.51906563	3.83
ERR1873260	44.7159996	2.68199992	0.370460754	8.654387671	7.08
ERR2602451	38.54079819	2.73600006	0.573059358	12.52381626	7.06
ERR1873261	146.282196	4.03299999	0.501753952	12.98002739	2.67
ERR1873262	148.8403015	5.97800016	0.501656545	9.116402597	3.16
