	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
AACY020068177.376.1853	11	9	8	8	29	33	13	4	14	8	0	9	17	2	7	18	17	13	6	4	14	23	8	0	0	0	29	0	0	1	5	2	1	7	0	3	0	1	1	0	1	0	2	2	4	1	0	1	0	9	1	1	0	0	0	8	9	5	18	60	24	10	44	18	6	7	0	11	12	6	7	12	6	3	9	6	5	3	4	33	10	19	23	13	11	0	6	19	17	5	0	0	0	0	0	0	0	0	2
AACY020075636.150.1670	21	14	31	27	22	1	9	27	17	11	0	17	3	20	21	1	6	18	32	7	10	1	14	0	0	11	0	5	1	1	10	0	0	6	1	1	0	1	1	0	0	3	1	0	2	1	0	2	0	1	1	0	0	0	42	45	21	27	40	0	30	12	26	31	23	0	0	18	3	6	4	2	19	25	19	46	24	3	17	0	2	2	8	12	27	0	10	28	1	0	2	0	0	0	8	16	0	0	0
AACY020080403.492.1950	0	0	0	2	3	1	0	1	2	1	0	1	2	2	1	1	2	2	4	12	0	2	2	9	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	2	2	1	8	1	0	3	11	3	2	3	0	1	0	8	2	6	5	4	2	2	1	0	0	1	3	0	15	15	11	17	52	26	11	14	13	0	0	5	5	13
AACY020095396.2822.4287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	1	2	2	15	9	4	4	4	2	20	4	2	8	4	8	12	3	4	2	2	2	1	0	12	3	8	6	5	0	0	1	3	6	10	3	0	0	0	2	2	5	7	13
AACY020125842.54.1493	23	31	21	27	14	5	63	54	319	37	0	43	23	22	28	14	38	35	48	56	51	40	44	0	0	0	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	3	17	51	36	23	3	26	39	39	25	3	5	5	8	0	11	60	33	72	81	30	16	89	19	12	14	38	67	52	0	46	100	54	66	9	0	0	0	0	0	11	49	37
AACY020147130.655.2082	5	17	0	31	4	5	3	10	1	8	0	23	5	4	7	7	11	2	0	0	2	5	5	0	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	2	1	1	0	0	4	0	0	1	4	1	0	11	3	0	3	0	0	2	0	8	15	19	5	7	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0
AACY020159143.753.2263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12	11	7	2	1	3	3	1	2	3	3	4	6	9	14	10	2	0	0	2	0	2	0	0	3	3	2	1	0	1	0	0	2	3	0	0	0	0	0	0	4	0	0	0
AACY020207233.1273.2814	4	12	17	21	13	16	7	20	14	10	0	25	24	10	9	16	13	11	4	2	26	40	6	0	0	0	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	77	9	12	32	13	37	29	19	20	19	32	6	20	18	13	8	33	2	6	24	5	11	11	1	17	4	19	15	13	2	0	0	8	39	17	10	0	0	0	0	0	12	22	21
AACY020255495.903.2404	17	3	14	11	22	13	8	31	7	2	0	6	4	12	4	10	5	11	5	6	19	3	1	0	0	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	3	12	11	11	6	31	26	14	21	33	7	0	9	6	35	38	9	4	11	6	7	9	1	1	7	6	10	16	21	0	0	3	5	9	1	1	0	0	0	0	9	2	1	5
AACY020276549.377.1886	14	5	0	19	18	13	21	6	24	0	1	36	14	17	17	4	8	15	4	5	29	2	8	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020281370.39.1481	11	11	0	13	5	0	0	0	18	3	0	11	0	15	13	2	2	10	36	14	2	4	8	0	0	0	0	0	2	1	5	1	1	3	2	1	0	0	2	0	3	0	3	2	2	0	1	0	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020283857.132.1585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	2	3	5	3	4	10	4	4	6	7	8	14	3	13	12	8	10	14	7	4	1	9	8	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
