	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
AACY024102418.157.1623	76	39	179	94	82	90	107	139	56	13	24	48	98	62	67	103	107	101	62	38	61	54	84	1	0	29	87
KC003383.1.1321	129	102	81	58	141	218	80	87	93	65	0	86	50	132	33	90	85	12	12	202	79	85	98	0	0	1	274
EU394547.1.1451	113	145	64	82	111	65	81	36	142	95	50	126	51	78	98	41	64	100	200	64	94	26	75	2	0	155	72
X52169.1.1473	78	46	77	44	82	119	50	89	46	42	0	38	5	166	28	15	13	3	21	193	37	21	28	0	0	0	151
EU802966.1.1361	33	20	51	35	52	98	27	51	26	9	6	24	47	35	9	81	93	19	13	47	43	57	54	0	0	0	73
EU802925.1.1450	18	22	48	23	16	62	11	60	12	11	0	19	49	37	21	65	59	11	8	32	10	44	43	0	0	1	59
AY664224.1.1233	37	65	52	51	42	13	40	36	23	44	7	42	37	35	39	52	48	69	63	30	26	10	39	34	29	20	22
GU940990.1.1405	37	16	44	27	48	75	20	60	16	19	1	24	48	44	8	84	77	5	3	37	15	51	33	0	0	0	69
GU940771.1.1349	36	44	46	58	36	22	22	43	19	27	4	24	40	41	41	53	41	56	53	28	35	23	39	5	1	25	27
FJ745117.1.1319	34	67	38	47	37	17	30	46	19	35	4	41	31	46	33	57	64	36	54	33	35	13	23	8	4	26	23
EF572471.1.1459	11	16	21	23	10	9	7	41	5	20	0	3	15	13	23	20	15	24	11	4	8	9	27	0	0	38	2
AM747321.1.1243	41	50	28	48	35	21	17	26	21	36	4	26	31	37	43	40	28	32	54	24	29	11	30	27	21	20	27
EU802283.1.1251	35	30	27	26	45	31	34	27	26	21	17	39	31	28	22	46	46	60	35	30	45	32	52	12	11	12	44
U40238.31654.33126	8	1	0	11	0	0	3	20	63	1	0	73	26	11	145	3	33	42	28	100	13	36	204	0	0	0	3
