	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0
AACY024102418.157.1623	20	10	17	35	17	14	36	12	9	17	22	16	14	9	26	17	9	22	7	9	10	5	33	7	5	4	14
KC003383.1.1321	0	0	0	15	0	3	18	1	0	0	2	0	0	0	0	0	0	24	0	0	0	0	58	4	13	0	0
EU394547.1.1451	34	20	38	37	25	17	31	23	12	27	23	13	13	22	40	19	16	13	10	20	15	4	13	9	10	4	25
X52169.1.1473	0	1	1	15	0	0	25	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	10	0	7	0	0
EU802966.1.1361	6	5	4	7	1	1	12	1	2	2	3	2	0	1	5	1	1	20	1	1	1	5	52	2	14	1	3
EU802925.1.1450	0	0	0	13	0	1	9	1	0	1	0	0	0	0	0	0	0	20	0	0	0	0	57	0	6	0	0
AY664224.1.1233	3	7	7	20	9	4	11	4	8	2	1	1	9	8	12	13	4	14	8	2	7	1	19	2	11	6	3
GU940990.1.1405	1	0	0	15	0	0	11	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	59	1	7	0	0
GU940771.1.1349	11	4	5	27	2	7	13	4	3	3	1	3	1	6	13	8	4	5	4	4	6	0	19	5	11	1	4
FJ745117.1.1319	9	9	5	21	4	2	13	6	2	1	6	0	7	6	12	2	1	14	10	4	5	1	23	2	10	3	3
EF572471.1.1459	0	0	0	6	1	1	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	4	0	0
AM747321.1.1243	13	7	6	18	2	5	10	6	6	5	5	5	6	8	22	7	8	9	5	4	7	1	26	5	12	6	4
EU802283.1.1251	21	11	14	21	5	3	7	7	4	8	4	7	4	5	10	5	4	7	4	9	6	1	22	3	7	2	5
U40238.31654.33126	33	2	2	11	0	0	25	6	2	1	0	0	40	37	119	17	7	1	5	12	26	0	3	7	16	2	5
GQ348500.1.1314	10	4	2	17	2	2	5	5	2	0	2	1	6	5	6	2	5	3	3	3	6	3	7	4	9	5	2
