	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0
GQ339904.1.1424	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GU119711.1.1407	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
JQ227090.1.1364	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
EU236350.1.1362	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GDUJ01044859.40.1504	1	2	2	0	0	1	0	0	0	0	3	0	5	0	0
JN832941.1.1347	3	3	1	0	0	1	0	0	0	0	0	1	1	1	0
FJ900330.1.1491	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
HQ132373.1.1367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JN444922.1.1435	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0
EF574272.1.1491	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AF186412.1.1506	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AB681901.1.1461	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
HM293557.1.1346	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KM588221.1.1419	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0
JQ349447.1.1363	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
JQ013172.1.1494	0	0	0	0	1	0	1	1	0	0	0	0	2	0	1
GQ348714.1.1363	3	0	1	0	2	0	6	0	1	1	0	1	0	4	1
JN609323.1.1488	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ674045.1.1445	14	25	7	6	10	18	22	3	1	6	11	13	27	7	7
JI416915.1.1324	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
HQ856371.1.1446	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HQ674277.1.1464	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0
EU800184.1.1312	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0
