	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
AACY024102418.157.1623	180	131	185	114	242	132	163	78	199	116	108	165	16	152	95	44	83	81	32	92	78	62	71	35	60	108	65	74	105	115	59	4	26	63	70	55	63	1	0	2	21	204	219	222	173
KC003383.1.1321	68	58	54	60	78	150	70	3	65	45	112	118	119	64	121	40	9	49	0	6	20	11	146	99	95	178	88	77	108	11	16	0	167	161	108	95	161	0	0	0	13	86	86	65	131
EU394547.1.1451	64	87	49	85	88	40	48	21	69	34	32	27	112	46	25	30	37	49	113	99	82	98	100	70	164	36	26	32	73	87	171	26	68	45	17	18	21	1	0	0	130	77	66	65	43
X52169.1.1473	99	46	46	50	78	40	104	7	85	42	104	16	173	82	17	4	0	4	0	2	5	4	188	136	107	16	4	8	11	3	11	0	200	96	9	29	71	0	0	0	8	97	106	14	58
EU802966.1.1361	48	31	56	51	58	107	51	11	50	36	55	123	29	49	125	54	16	60	13	18	28	19	44	29	20	131	75	88	133	27	11	0	44	44	107	86	74	0	0	0	3	28	46	68	89
EU802925.1.1450	63	46	45	39	67	105	75	6	50	24	60	137	40	62	89	37	13	47	1	12	13	11	50	30	22	114	58	79	87	13	2	0	28	32	106	91	95	0	0	0	6	41	36	67	78
AY664224.1.1233	44	66	39	43	43	31	48	31	48	77	42	32	45	47	30	38	46	36	38	33	33	45	48	47	28	54	38	49	45	54	58	16	26	30	29	30	45	27	39	42	37	74	65	50	30
GU940990.1.1405	54	26	41	21	50	107	55	1	36	34	63	99	25	44	97	39	17	37	0	12	17	7	29	35	16	116	62	56	84	12	0	0	42	41	77	70	70	0	0	0	4	17	35	39	84
GU940771.1.1349	49	56	54	62	50	38	39	31	57	72	31	50	24	54	53	28	43	45	28	29	47	26	43	40	37	63	48	49	35	74	51	7	22	31	32	35	41	5	3	3	39	52	71	49	52
FJ745117.1.1319	43	53	36	52	56	50	64	23	62	55	29	37	45	60	48	42	31	38	43	48	34	29	46	50	34	42	48	61	37	61	47	14	29	24	45	30	47	4	4	5	43	81	64	59	61
EF572471.1.1459	78	34	31	31	49	32	40	21	46	24	45	69	77	34	59	11	31	14	10	10	13	4	26	31	31	39	24	38	30	24	10	3	4	9	36	30	42	0	0	0	52	110	171	133	119
AM747321.1.1243	34	54	39	57	32	34	58	31	45	52	25	21	46	52	27	39	46	38	32	32	41	27	37	46	20	38	30	44	31	42	40	20	22	32	31	33	45	25	21	28	32	35	34	33	33
EU802283.1.1251	49	42	32	42	58	46	51	26	43	58	43	39	24	52	51	34	27	43	21	52	40	53	45	47	24	43	40	43	45	33	26	5	22	25	56	19	40	8	17	20	25	57	65	57	38
U40238.31654.33126	0	0	0	0	0	0	0	1	6	3	14	0	0	0	0	0	3	19	62	283	122	100	29	4	65	3	5	1	7	23	31	7	64	3	0	0	0	0	0	0	0	0	0	0	0
GQ348500.1.1314	28	45	40	56	31	18	23	26	35	46	34	23	36	36	24	33	28	17	28	13	26	23	34	44	39	17	24	35	39	40	52	11	18	20	26	10	32	70	76	102	36	41	39	37	22
AACY020564593.3718.5259	104	44	32	35	93	43	107	27	108	84	88	25	11	100	37	13	14	11	10	16	19	48	43	21	35	28	25	23	33	25	34	24	24	65	14	9	18	0	0	0	3	143	26	41	48
AJXC01019507.1.1272	12	7	14	22	16	31	23	11	20	30	21	9	18	24	18	22	14	36	22	42	44	58	41	33	38	28	27	36	40	39	37	9	31	22	29	37	27	12	11	19	15	39	47	56	37
AACY020549891.3846.5359	0	0	3	1	1	160	0	0	0	1	0	153	26	1	24	1	5	0	0	0	6	0	1	4	1	7	0	2	0	0	2	0	0	0	19	64	4	0	0	0	8	22	596	561	251
EF572127.1.1520	60	30	34	60	44	18	41	24	57	41	36	19	12	33	25	30	17	26	39	56	66	86	48	23	32	26	47	52	39	82	72	2	42	43	34	17	23	0	0	0	0	19	8	7	22
KC001820.1.1315	42	22	27	33	25	35	33	24	42	41	21	42	35	31	37	27	26	35	29	34	46	32	38	37	35	34	36	41	37	38	31	9	18	16	37	36	37	12	20	25	27	50	71	65	47
EU801991.1.1263	22	53	26	37	27	23	25	21	42	46	39	17	35	47	22	30	28	31	32	28	19	32	45	43	32	40	27	31	37	32	43	25	24	19	25	14	39	32	29	44	41	50	39	45	23
EU802280.1.1361	30	32	41	24	28	70	32	17	31	17	42	66	15	39	94	26	10	41	6	7	9	6	20	18	11	90	57	54	70	21	10	4	31	40	76	55	70	0	0	1	2	20	29	34	74
EU800764.1.1362	19	81	42	61	31	8	29	20	39	42	12	14	60	35	12	34	35	13	50	18	13	27	32	56	52	18	16	27	26	27	40	38	22	25	20	22	31	5	1	0	52	67	25	15	12
DQ009453.1.1963	2	8	8	16	12	10	4	4	8	4	9	8	9	5	6	0	2	28	38	52	35	36	27	11	57	7	6	4	18	23	30	0	27	10	3	5	7	3	3	0	17	20	17	12	12
AACY020562322.3851.5364	44	41	57	61	45	15	56	11	16	41	38	64	16	89	89	161	23	0	1	0	3	3	8	61	1	74	38	46	13	10	5	0	0	13	75	36	35	0	0	0	4	34	23	12	31
EU802362.1.1310	22	50	24	40	37	13	36	23	31	41	19	18	29	40	16	28	25	11	29	31	15	22	39	45	23	31	34	32	33	54	61	20	12	32	27	13	29	40	52	82	39	44	37	27	8
DQ009125.1.1942	26	26	24	20	39	34	32	15	41	19	24	51	80	19	9	21	6	10	108	26	26	50	99	76	83	10	9	14	13	39	113	27	29	26	11	52	35	2	0	0	10	34	34	23	54
DQ299286.1.1392	0	1	13	22	50	11	85	70	20	19	46	21	0	38	57	7	2	118	2	27	36	31	12	25	2	49	48	65	78	72	16	0	3	57	27	21	2	0	0	0	0	0	0	2	10
AACY020487638.121.1594	67	93	119	70	42	13	16	17	18	21	21	21	60	82	16	82	35	2	12	4	8	5	9	9	11	19	24	30	8	17	28	1	2	4	4	5	27	0	0	1	41	58	57	55	47
AACY020481938.3418.4929	17	101	57	28	28	49	48	8	17	44	19	60	3	48	39	55	29	5	0	1	6	2	10	15	0	23	25	43	5	8	2	0	0	4	24	20	8	0	0	0	0	63	115	48	65
EU802623.1.1438	19	25	33	29	33	58	22	6	23	22	23	69	36	23	50	25	13	49	10	11	16	11	36	32	27	59	40	57	56	13	10	2	39	31	64	52	58	0	0	0	10	30	25	33	44
EU686623.12708.14181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC001946.1.1313	31	34	21	32	41	27	42	29	39	42	24	34	23	41	44	33	24	23	17	20	19	30	29	30	22	38	26	35	26	33	32	16	24	17	27	27	26	2	10	13	35	60	61	33	32
EU802424.1.1247	22	32	31	32	30	19	30	29	27	47	33	22	29	41	24	25	22	23	24	19	30	14	29	40	21	33	27	26	26	28	38	6	13	19	39	21	25	30	40	68	21	48	42	29	30
EF572710.1.1498	27	54	60	70	39	16	28	6	10	30	35	61	17	88	66	143	34	0	0	1	1	1	1	69	0	44	38	40	11	8	2	0	0	11	64	30	35	0	0	0	2	30	25	19	35
AACY020565564.130.1652	0	1	0	1	0	2	1	0	2	10	3	0	0	1	0	5	20	98	105	159	110	113	31	13	47	1	17	5	50	93	65	3	35	6	1	2	9	0	0	0	0	0	0	0	0
AACY020125842.54.1493	4	8	3	17	51	36	23	3	26	39	39	25	3	5	5	8	0	11	60	33	72	81	30	16	89	19	12	14	38	67	52	0	46	100	54	66	9	0	0	0	0	0	11	49	37
DQ009141.1.1996	0	0	0	0	0	70	0	0	0	1	0	32	137	0	0	0	0	0	0	0	3	0	8	18	2	2	0	1	0	1	1	0	0	1	14	46	32	0	0	0	14	199	367	187	212
GU940743.1.1341	28	55	35	42	44	12	31	21	37	40	25	10	31	40	29	30	31	21	20	20	26	31	35	33	40	29	25	31	11	30	26	10	16	19	16	10	26	3	6	11	19	37	46	26	27
AY664087.1.1207	29	25	16	41	41	65	51	2	46	18	40	38	26	29	36	10	2	16	0	4	6	2	50	18	27	47	18	19	32	4	5	0	55	55	21	24	50	0	0	0	2	37	23	22	26
EU802641.1.1377	26	28	25	19	20	64	34	3	22	12	34	75	11	22	89	28	7	26	1	3	9	4	14	13	10	74	47	63	52	7	2	0	22	29	60	60	55	0	0	0	0	16	15	40	59
JX945349.1.1357	40	34	25	40	38	28	33	24	33	41	28	35	9	33	36	23	23	20	19	17	26	32	26	33	16	54	24	44	31	29	26	6	14	9	20	16	22	2	3	0	22	33	46	36	29
HQ216327.1.1233	19	41	25	22	21	12	22	20	19	20	20	15	52	27	13	16	25	19	53	16	21	18	25	22	45	15	10	16	16	16	39	48	13	20	22	14	22	14	17	22	74	29	29	19	15
HQ163443.1.1344	13	47	30	35	21	2	18	10	8	21	14	12	47	41	4	17	13	13	38	13	19	20	25	40	46	17	13	23	15	18	41	35	23	20	10	11	17	25	35	61	57	38	19	12	12
EU804641.1.1462	3	1	5	15	3	24	3	4	9	8	25	2	0	4	1	4	1	78	23	142	88	99	49	28	33	17	17	26	72	90	23	0	60	19	15	13	18	0	0	0	1	0	0	1	2
